day_of_week,nb_customers_on_day,open,promotion,school_holiday,state_holiday_0,state_holiday_a,state_holiday_b,year,month,day,sales
7,0,0,0,0,1,0,0,2015,3,1,14.486419
7,0,0,0,0,1,0,0,2013,12,29,-27.294168
3,657,1,1,0,1,0,0,2014,3,19,6463.4004
2,862,1,0,0,1,0,0,2013,1,29,6748.6494
3,591,1,1,0,1,0,0,2014,3,19,6107.312
4,569,1,0,0,1,0,0,2014,6,26,5026.9316
1,321,1,1,0,1,0,0,2015,2,16,3940.1023
6,1367,1,0,0,1,0,0,2014,11,22,10255.242
4,0,0,1,0,0,1,0,2015,6,4,-39.31569
2,546,1,1,0,1,0,0,2015,1,13,6101.6235
4,968,1,0,1,1,0,0,2015,7,23,7539.9917
4,472,1,0,0,1,0,0,2013,9,19,4255.7104
7,0,0,0,0,1,0,0,2014,4,20,-2.6122062
1,965,1,0,0,1,0,0,2013,12,9,8171.2925
2,804,1,0,1,1,0,0,2015,4,7,6976.5977
3,499,1,1,1,1,0,0,2013,10,9,5280.6094
1,1337,1,1,1,1,0,0,2013,8,12,13026.895
3,560,1,0,0,1,0,0,2014,4,9,5052.997
3,461,1,0,1,1,0,0,2014,12,31,4297.7104
3,866,1,1,0,1,0,0,2014,3,19,7714.55
7,0,0,0,0,1,0,0,2015,2,15,11.815713
1,1367,1,1,0,1,0,0,2014,6,2,13439.384
2,642,1,1,0,1,0,0,2013,9,24,6463.019
5,0,0,1,1,0,0,1,2013,3,29,-4.7907515
6,1139,1,0,0,1,0,0,2013,8,3,8647.965
6,0,0,0,0,1,0,0,2014,1,11,-2.5643003
2,515,1,1,1,1,0,0,2013,3,26,5830.646
3,355,1,1,1,1,0,0,2013,6,19,4087.69
1,1063,1,1,0,1,0,0,2015,3,30,12623.163
7,0,0,0,0,1,0,0,2013,9,29,26.610418
4,562,1,1,0,1,0,0,2015,3,5,6135.5605
7,0,0,0,0,1,0,0,2014,11,2,-10.165359
2,927,1,1,1,1,0,0,2013,8,27,8716.146
6,894,1,0,0,1,0,0,2014,10,25,7179.4497
2,594,1,0,0,1,0,0,2015,3,10,5268.5254
2,533,1,1,0,1,0,0,2013,6,18,5927.2456
7,0,0,0,0,1,0,0,2015,4,5,34.903233
2,709,1,1,0,1,0,0,2013,6,4,6993.1973
1,484,1,1,0,1,0,0,2013,6,17,5718.178
4,435,1,1,0,1,0,0,2014,11,27,5131.4775
2,1239,1,1,0,1,0,0,2015,6,2,12206.005
6,373,1,0,0,1,0,0,2014,6,28,3481.5432
4,642,1,0,0,1,0,0,2013,10,17,5316.805
3,421,1,1,0,1,0,0,2013,5,15,4684.628
5,394,1,0,0,1,0,0,2014,9,12,3802.7231
5,761,1,1,0,1,0,0,2015,5,8,7737.9688
3,627,1,0,0,1,0,0,2013,6,26,5308.4795
2,731,1,1,0,1,0,0,2015,6,2,8107.4175
5,941,1,1,1,1,0,0,2014,7,18,8344.882
4,1157,1,1,0,1,0,0,2014,10,2,10169.005
1,720,1,1,0,1,0,0,2014,4,28,7973.812
5,697,1,0,0,1,0,0,2014,1,17,5999.881
6,534,1,0,0,1,0,0,2013,6,29,5437.872
6,333,1,0,0,1,0,0,2014,5,31,3207.341
2,430,1,1,1,1,0,0,2013,8,13,5123.777
4,607,1,0,0,1,0,0,2015,3,12,5361.008
3,402,1,1,0,1,0,0,2014,1,22,4756.847
3,532,1,0,0,1,0,0,2014,4,9,4828.916
5,406,1,0,0,1,0,0,2013,3,15,4048.8953
2,828,1,0,0,1,0,0,2015,6,23,6787.0776
3,582,1,0,0,1,0,0,2014,8,27,4994.2266
4,852,1,1,1,1,0,0,2013,3,28,9044.087
5,709,1,1,0,1,0,0,2013,4,12,6845.817
2,1178,1,1,1,1,0,0,2014,7,29,10674.433
2,634,1,0,0,1,0,0,2015,6,23,5692.9326
2,517,1,1,0,1,0,0,2014,11,4,6022.8276
6,905,1,0,0,1,0,0,2013,3,9,7757.2393
4,581,1,0,0,1,0,0,2014,7,10,5311.7983
4,657,1,1,0,0,1,0,2015,6,4,6675.9785
2,485,1,1,0,1,0,0,2014,1,21,5565.043
4,528,1,0,1,1,0,0,2015,4,9,4945.349
4,410,1,0,0,1,0,0,2015,1,22,4018.7139
5,445,1,0,0,1,0,0,2015,4,24,4412.2
6,367,1,0,0,1,0,0,2013,9,28,3409.3315
2,753,1,1,0,1,0,0,2013,9,24,7133.862
1,494,1,0,0,1,0,0,2014,5,26,4716.4727
1,408,1,0,0,1,0,0,2014,3,24,4063.8752
3,648,1,1,0,1,0,0,2015,1,7,6778.553
7,0,0,0,0,1,0,0,2013,6,2,-8.878964
2,1044,1,0,0,1,0,0,2014,1,28,7442.17
5,719,1,0,0,1,0,0,2013,10,4,6557.5923
6,345,1,0,0,1,0,0,2015,1,10,3318.3557
3,566,1,1,1,1,0,0,2013,7,31,6747.2983
2,777,1,1,0,1,0,0,2013,8,13,7415.4287
4,1189,1,1,0,1,0,0,2015,4,16,10352.513
5,998,1,1,1,1,0,0,2015,7,31,10462.74
6,297,1,0,0,1,0,0,2014,7,12,2750.9219
2,438,1,0,1,1,0,0,2013,12,31,4025.5728
2,1099,1,1,0,1,0,0,2013,9,24,9189.175
1,323,1,0,0,1,0,0,2013,10,28,3163.742
2,449,1,0,0,1,0,0,2014,7,8,4444.3945
3,614,1,1,0,1,0,0,2013,3,20,6223.767
1,601,1,1,1,1,0,0,2014,4,28,7021.0435
4,501,1,1,1,1,0,0,2015,4,2,5851.8545
2,580,1,0,1,1,0,0,2013,9,3,5349.904
4,769,1,1,0,1,0,0,2015,2,5,7698.394
3,1018,1,1,1,1,0,0,2013,8,14,9171.484
3,717,1,0,0,1,0,0,2013,5,8,6190.4434
4,1139,1,0,0,1,0,0,2015,6,11,8739.028
7,0,0,0,0,1,0,0,2013,9,15,-1.9735644
5,338,1,0,0,1,0,0,2014,9,26,3348.4707
1,1236,1,1,0,1,0,0,2014,12,1,12652.417
1,858,1,0,0,1,0,0,2015,5,11,6976.613
2,1476,1,0,0,1,0,0,2015,3,24,9949.735
2,737,1,1,0,1,0,0,2014,11,4,7783.376
3,701,1,0,1,1,0,0,2013,2,13,5773.5337
5,282,1,1,0,1,0,0,2014,11,14,3539.7166
